record_id,document_type,registration_year,stated_area_acres,gis_calculated_area_acres,area_variance_pct,boundary_overlap_ratio,owner_name_similarity,temporal_date_gap_days,subdivision_depth,ocr_confidence,stamp_duty_ratio,encumbrance_status,prior_dispute_flag,mutation_status,target_fraud_risk
KAG-LR-100000,PATTA,1988,0.48,0.45,6.35,0.191,0.375,2227,1,63.2,0.52,ACTIVE_MORTGAGE,0,PENDING,1
KAG-LR-100001,PATTA,2011,2.35,2.42,1.35,0.004,0.978,32,1,95.8,0.99,NIL,0,APPROVED,0
KAG-LR-100002,SALE_DEED,2024,10.38,9.85,1.53,0.035,0.944,53,2,96.7,0.99,NIL,0,APPROVED,0
KAG-LR-100003,SALE_DEED,1991,3.34,3.48,2.43,0.01,0.98,37,2,92.8,1.06,NIL,0,APPROVED,0
KAG-LR-100004,SALE_DEED,1992,3.86,4.03,4.29,0.013,0.978,26,4,91.5,1.02,NIL,0,APPROVED,0
KAG-LR-100005,SALE_DEED,2013,3.94,4.03,1.03,0.01,0.963,37,1,98.7,1.06,NIL,0,APPROVED,0
KAG-LR-100006,SETTLEMENT,1998,2.21,2.3,1.76,0.003,0.967,44,2,88.1,0.94,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100007,SALE_DEED,2012,1.13,1.09,2.97,0.003,0.951,32,4,95.6,1.07,NIL,0,PENDING,0
KAG-LR-100008,SALE_DEED,2012,1.4,1.36,1.39,0.029,0.963,48,1,91.9,1.16,NIL,0,APPROVED,0
KAG-LR-100009,GIFT_DEED,1999,7.69,7.74,6.5,0.007,0.975,13,3,86.5,1.04,NIL,0,APPROVED,0
KAG-LR-100010,PATTA,1988,1.19,1.23,2.23,0.008,0.979,34,4,93.7,0.95,NIL,0,APPROVED,0
KAG-LR-100011,SETTLEMENT,2024,1.64,2.06,25.61,0.51,0.653,-625,1,65.8,0.29,NIL,1,REJECTED,1
KAG-LR-100012,PATTA,2012,2.69,2.7,6.45,0.009,0.99,35,1,95.8,1.04,NIL,0,APPROVED,0
KAG-LR-100013,SALE_DEED,2009,2.63,2.48,1.15,0.007,0.955,9,1,94.1,0.96,NIL,0,APPROVED,0
KAG-LR-100014,POWER_OF_ATTORNEY,1985,4.28,4.32,2.28,0.007,0.952,34,4,97.3,1.07,NIL,0,APPROVED,0
KAG-LR-100015,PATTA,1983,9.85,10.75,9.12,0.304,0.454,71,1,76.5,0.62,COURT_STAY,1,REJECTED,1
KAG-LR-100016,PATTA,1966,6.97,6.58,5.56,0.392,0.738,893,1,67.1,0.38,ACTIVE_MORTGAGE,1,REJECTED,1
KAG-LR-100017,PATTA,1989,2.25,2.42,7.54,0.129,0.697,-588,3,84.2,0.27,NIL,1,REJECTED,1
KAG-LR-100018,PATTA,1992,2.93,2.77,1.34,0.003,0.996,44,1,92.5,1.04,NIL,0,APPROVED,0
KAG-LR-100019,SETTLEMENT,2011,2.26,2.39,2.44,0.015,0.935,31,1,93.2,0.98,NIL,1,APPROVED,0
KAG-LR-100020,PATTA,1998,3.64,3.78,4.09,0.028,0.975,62,2,95.4,1.07,NIL,0,APPROVED,0
KAG-LR-100021,PATTA,2021,4.19,4.25,3.72,0.016,0.949,30,2,94.6,0.92,NIL,0,APPROVED,0
KAG-LR-100022,POWER_OF_ATTORNEY,1993,2.23,2.32,2.26,0.003,0.957,23,5,88.1,0.93,NIL,0,APPROVED,0
KAG-LR-100023,POWER_OF_ATTORNEY,1999,0.56,0.56,1.09,0.008,0.998,49,1,89.0,1.18,NIL,0,APPROVED,0
KAG-LR-100024,PATTA,1990,1.01,0.93,7.69,0.071,0.527,-39,2,79.5,0.38,ACTIVE_MORTGAGE,0,REJECTED,1
KAG-LR-100025,PATTA,1967,5.84,5.57,2.53,0.004,0.941,32,2,96.0,1.06,NIL,0,APPROVED,0
KAG-LR-100026,PATTA,1975,2.91,2.86,1.7,0.005,0.993,35,4,92.7,0.94,NIL,0,APPROVED,0
KAG-LR-100027,GIFT_DEED,1999,0.99,1.03,3.61,0.001,0.946,41,1,97.1,1.05,NIL,0,APPROVED,0
KAG-LR-100028,PATTA,2019,7.2,7.24,0.56,0.005,0.94,55,2,99.5,1.0,NIL,1,APPROVED,0
KAG-LR-100029,SALE_DEED,2018,4.52,4.32,1.52,0.004,0.955,49,3,98.4,0.9,NIL,0,PENDING,0
KAG-LR-100030,SALE_DEED,1989,2.41,1.93,20.04,0.401,0.603,1610,1,77.9,0.43,NIL,0,PENDING,1
KAG-LR-100031,SALE_DEED,2016,0.66,0.65,5.63,0.011,0.981,12,2,82.2,1.0,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100032,PATTA,2025,0.57,0.56,1.25,0.004,0.93,55,1,91.4,1.06,NIL,0,APPROVED,0
KAG-LR-100033,PATTA,1974,4.5,4.24,2.74,0.001,0.974,31,1,93.4,0.99,NIL,0,APPROVED,0
KAG-LR-100034,SETTLEMENT,2001,1.82,1.73,1.6,0.008,0.966,63,1,96.8,0.91,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100035,PATTA,2008,11.31,11.85,4.84,0.013,0.897,44,1,87.8,1.01,NIL,0,PENDING,0
KAG-LR-100036,SETTLEMENT,2006,0.99,1.02,1.09,0.002,0.905,64,1,91.0,1.02,NIL,0,APPROVED,0
KAG-LR-100037,SALE_DEED,2018,3.13,3.22,3.59,0.002,0.968,12,2,86.2,1.06,NIL,0,APPROVED,0
KAG-LR-100038,PATTA,2001,5.43,5.17,6.5,0.003,0.953,60,1,95.8,1.0,ACTIVE_MORTGAGE,0,APPROVED,0
KAG-LR-100039,GIFT_DEED,1986,2.73,2.66,1.15,0.021,0.972,44,4,96.8,0.97,NIL,0,APPROVED,0
KAG-LR-100040,PATTA,1993,2.63,2.61,3.51,0.017,0.999,24,2,88.3,1.0,NIL,0,APPROVED,0
KAG-LR-100041,PATTA,2020,2.19,2.07,1.13,0.0,0.981,28,1,89.7,1.0,NIL,0,REJECTED,0
KAG-LR-100042,PATTA,1990,0.88,0.91,6.5,0.008,0.911,40,1,85.7,1.19,COURT_STAY,0,APPROVED,0
KAG-LR-100043,SALE_DEED,2023,1.79,1.87,5.83,0.013,0.926,13,1,90.1,0.95,NIL,0,APPROVED,0
KAG-LR-100044,SETTLEMENT,1998,1.58,1.13,28.48,0.2,0.611,36,2,84.0,0.76,ACTIVE_MORTGAGE,1,APPROVED,1
KAG-LR-100045,SALE_DEED,1976,4.54,4.8,1.64,0.008,0.995,35,1,91.4,0.99,NIL,0,APPROVED,0
KAG-LR-100046,PATTA,1965,2.92,3.09,1.45,0.009,0.944,74,1,91.2,1.07,NIL,0,APPROVED,0
KAG-LR-100047,SALE_DEED,1975,5.54,5.64,1.22,0.003,0.978,20,1,92.0,1.02,NIL,0,APPROVED,0
KAG-LR-100048,POWER_OF_ATTORNEY,1979,4.8,4.15,13.57,0.184,0.487,-210,2,84.5,0.48,COURT_STAY,0,PENDING,1
KAG-LR-100049,SALE_DEED,2024,4.54,4.32,0.85,0.002,0.97,15,3,92.1,1.0,NIL,0,APPROVED,0
